id,sqft_house,sqft_lot,sqft_no_basement,sqft_basement,sqft_house_after_2015,sqft_lot_after_2015
292000070,2350,14197,1220,1130,2470,11629
293070310,3970,7314,3970,0,3560,5258
293620220,3270,8223,3270,0,3460,8872
293760150,4320,8490,3280,1040,4030,11008
301400800,1584,2800,1584,0,1584,2800
301400830,1584,3200,1584,0,1584,2800
301401620,1852,4000,1852,0,2475,4000
304000530,1370,8470,1370,0,1710,8800
312000265,790,5120,790,0,1250,5120
318500300,2640,6240,2640,0,2640,5898
318900120,2370,15336,2370,0,2110,15925
321049090,2080,16117,1740,340,1510,13068
321079066,1810,349351,1810,0,2480,339332
322069020,1940,219527,1940,0,2060,108900
322069153,2280,213879,2280,0,2380,178160
322069180,3730,383328,2230,1500,1940,217800
323059103,1230,23522,1230,0,2340,23522
323089134,1300,10236,1300,0,1380,11325
325059086,2510,17986,2510,0,2440,8039
325059131,1940,12100,1940,0,1380,12100
326049103,2470,8536,2470,0,1690,8840
326049111,1010,7200,1010,0,1890,9248
326069101,2130,219978,2130,0,3340,217800
326069132,1780,214315,1780,0,2740,133419
326069164,3450,43216,3450,0,3030,50481
328000182,1876,1531,1876,0,1876,1533
333100295,4490,56609,4490,0,2710,51330
369000690,1060,5750,950,110,1790,5857
395300100,1850,9600,1850,0,1250,10500
396100110,830,6017,830,0,1340,6040
408100110,1800,6000,900,900,1060,6628
421000500,700,7303,700,0,960,6060
421000555,1050,5000,1050,0,1050,5200
421049170,1510,15022,1510,0,1510,12970
422069067,2380,128937,2380,0,1030,114998
423059184,1960,9583,1960,0,1850,8324
423059207,1190,6445,1190,0,1920,8195
423059387,3370,4850,3370,0,2900,5570
424049284,1120,912,1120,0,1380,3200
424069096,1400,12155,1400,0,2540,23522
424069112,2800,19168,2800,0,2010,16020
425049146,3050,7410,1950,1100,1890,5814
425059024,2420,21000,2420,0,1940,8085
425059103,1860,10027,1860,0,1530,9204
425069147,2240,45738,2240,0,3180,45738
425079100,1840,68479,1340,500,2060,61903
430000175,1520,5618,1170,350,1550,5618
434000040,1040,5527,1040,0,2080,7020
446000150,1100,5700,1100,0,1560,6588
452002005,980,5000,980,0,1270,4500
452002135,2740,5000,2740,0,1660,5000
455000395,1500,3920,1000,500,1640,4017
458000065,2020,3440,1480,540,1520,5080
461002025,1300,2500,770,530,1160,5000
461002551,580,1799,580,0,1260,4000
472000055,2000,5000,1110,890,1750,5000
475000190,1450,1540,1180,270,1450,1540
475000510,1320,5000,1090,230,1700,5000
476000118,1360,1336,1360,0,1280,1295
476000338,1250,1306,1250,0,1320,1306
486000085,2970,5000,2200,770,1470,4560
507100005,2120,6865,1060,1060,1460,7780
509000090,3190,49137,3190,0,3240,53143
510002065,1980,4560,1980,0,1810,3245
510002506,1170,1079,1170,0,1170,1116
510003230,1430,2200,1430,0,1740,4275
518500460,3760,5634,2830,930,3560,5762
520700125,1980,8775,1290,690,1550,9240
521049200,3176,13391,2726,450,3470,12779
522079068,2150,161607,1330,820,2400,207781
524059052,2420,15482,2420,0,2870,13905
524059093,1640,18730,1640,0,1670,12154
524059148,4280,9583,4280,0,2360,10031
524059241,2780,11000,1560,1220,2350,11700
524069011,2290,14374,2290,0,2290,33450
526059103,990,15120,990,0,1300,11500
526059122,2710,22120,1410,1300,2850,12224
526059224,1650,7276,1010,640,1840,8550
526069024,4530,258746,3200,1330,3430,83199
537000416,1680,7900,1680,0,1250,15600
546000245,1380,3031,1380,0,1440,4005
573000685,1550,6000,1550,0,2360,6000
579000550,1080,6760,1080,0,2080,5800
617000089,820,6200,820,0,1410,14000
619079016,4400,186846,4400,0,2280,186846
619079096,2350,715690,2350,0,1280,325393
622049114,5403,24069,5403,0,3980,104374
622069006,6550,217374,5400,1150,4110,50378
623049185,1590,6700,1090,500,1370,8040
624069050,5370,323215,5370,0,3780,9891
624110920,3330,15258,3330,0,3360,14850
624110930,3460,15745,3460,0,3350,14825
624111000,4040,14338,3030,1010,3360,14142
625049286,1530,4944,1530,0,1500,4944
625049318,1820,7626,990,830,1390,5904
626710220,2160,35912,2160,0,2230,35244
627300195,3240,9960,2020,1220,2730,10400
629000615,3070,10375,2180,890,2500,11194
629000704,1780,15648,1780,0,2320,14963
629600130,2380,35008,2380,0,2250,34794
629811600,2740,10533,2740,0,2760,8603
631000040,1690,7794,1090,600,1380,7325
643000110,1660,11060,1110,550,1890,11060
666000142,1950,1833,1610,340,2040,2131
686200510,2030,7700,1400,630,1780,8160
686400380,3260,8145,3260,0,2340,8145
686530170,2150,9900,1450,700,2170,9500
686800080,2370,10858,2370,0,2510,21673
714000155,1710,6195,1410,300,1610,6195
714000315,1710,9448,1010,700,1960,8951
717000225,870,6450,740,130,1640,5775
721049207,1860,15681,1860,0,1860,22979
723000114,4010,8510,2850,1160,2610,6128
723000150,2570,5000,1480,1090,2420,5484
723049434,1930,8254,1930,0,1540,8849
723069128,2370,217800,1600,770,2370,157687
723099044,2075,16200,2075,0,2300,32379
726059047,920,8282,920,0,2260,14025
726059344,1580,8659,1220,360,1970,9650
739980260,1920,5322,1920,0,1920,5000
745000005,480,9750,480,0,1550,9924
745530040,4450,9600,3650,800,4000,9750
745530240,4890,12039,3590,1300,4590,10079
748000205,1110,5421,1110,0,1230,8100
751000080,1630,7680,830,800,1250,7740
751000190,1120,7740,860,260,1240,7740
752000035,2650,7945,2650,0,1200,7920
764000155,2700,14760,2700,0,1670,7200
782700120,1410,45302,1410,0,2240,49222
785000040,1440,8536,1440,0,1720,9748
795002455,970,12500,970,0,1280,6250
797000256,1330,12092,720,610,1770,11770
798000145,1300,14500,650,650,1370,12986
798000535,1640,18144,1640,0,1500,9065
806800090,1890,5000,1890,0,2960,5421
808000070,1390,13464,1390,0,1720,12080
808300200,3040,20682,3040,0,2670,9742
808300310,2130,5337,2130,0,2300,6930
809000525,2040,6000,1840,200,1820,4920
809001965,1980,4000,1980,0,1980,3600
809001970,2460,6600,1560,900,2090,3400
809002030,1830,3600,1230,600,2020,3600
820000018,1860,2218,1860,0,1860,2218
820079101,2040,435600,2040,0,2020,223027
821049123,2420,9147,2420,0,1400,7200
822069118,3660,66211,3660,0,3660,107153
823059145,1300,18836,1300,0,1540,8498
824059140,2290,10687,2290,0,2290,10300
824059265,1640,10464,1640,0,2630,18872
824069156,2000,46902,2000,0,2420,38130
825079024,2990,207781,2990,0,2590,218671
826000295,870,7500,870,0,1240,5709
826000495,1580,4800,1580,0,1580,4800
826069085,2080,50965,1590,490,2270,51836
844001145,880,4814,880,0,1010,6160
844001485,2200,8500,1400,800,1360,8855
847100047,3220,9825,3220,0,2820,8566
856000985,2910,7364,2910,0,2480,8400
868000615,2600,11542,2200,400,2840,10960
868001295,1660,10819,1240,420,3110,11853
868002080,2370,6000,1440,930,3280,8843
869700350,1310,2915,1310,0,1310,3425
871001085,1470,6122,1200,270,2200,6122
871001735,1910,5120,1300,610,1810,5153
871001980,3020,4082,2080,940,2060,5102
904000045,2190,11394,1550,640,2190,9540
913000315,3902,3880,2782,1120,1100,3870
920069052,1120,35500,1120,0,1680,66022
921049141,3280,79279,3280,0,1860,24008
922059161,2140,26600,2140,0,2310,8783
922069139,1550,15250,1550,0,1520,34929
923000265,1430,8157,1150,280,1820,8157
923049323,1280,8316,1280,0,1310,7830
923049378,1490,8995,1490,0,1490,9000
923049468,980,12812,980,0,1430,8986
923059259,2720,5771,2720,0,1940,4184
925049278,1490,4054,1490,0,1510,3889
925049318,1550,4054,1550,0,1510,3889
925059078,2110,5608,1340,770,2040,9363
925069042,2840,54400,2840,0,2550,43560
925069071,3500,101494,3500,0,3250,38636
925069111,1760,235224,1760,0,2320,87120
930000234,2260,7680,1130,1130,1800,7680
952002250,1340,999,940,400,1470,1436
952003435,820,4025,820,0,1410,5750
952005224,890,3271,890,0,1190,5175
952006827,1310,1254,850,460,1310,1372
976000790,1800,4763,1240,560,1790,4763
976000879,1930,5398,1430,500,1910,4902
982850080,1750,4779,1750,0,1580,4687
984210120,2290,7420,1290,1000,1660,7526
985000833,1170,6134,1170,0,1440,9823
985000900,1520,7137,1520,0,1240,8602
985000955,1560,8800,1560,0,1480,10000
986000045,2020,10332,1010,1010,2240,8379
993000090,3810,6663,3810,0,1610,4561
993001330,1410,1332,1410,0,1430,1448
993001961,1390,1484,1390,0,1250,1087
993002325,950,4625,950,0,1440,4625
999000215,2760,5000,1680,1080,1850,5000
1003400155,1100,7657,1100,0,1300,8000
1003600056,1370,8837,1370,0,1360,9000
1003600080,1010,9678,1010,0,1010,9375
1022059032,3140,94525,2280,860,1910,14300
1023059465,2790,5602,2790,0,2790,5309
1023089019,1830,47916,1830,0,2010,13135
1024039049,2920,34527,1800,1120,2480,7933
1024049024,4870,7700,3650,1220,3220,7700
1025039086,3280,29111,3280,0,3530,21074
1025039292,2900,21074,2900,0,3390,20000
1025049114,1270,1566,1060,210,1160,1327
1025059094,3490,21780,3490,0,3070,7829
1025059186,1990,9885,1030,960,1560,10000
1043000100,2531,6843,2531,0,2604,6238
1048000060,1240,949,1240,0,1310,1140
1048000160,1200,1687,1200,0,1240,1296
1049010390,1260,5460,1260,0,1510,5460
1062100115,1450,6081,1450,0,1880,6000
1068000235,2980,8051,2020,960,2760,5499
1068000375,7100,18200,5240,1860,3130,6477
1070000390,3390,3979,2610,780,3350,4165
1072030510,2240,12650,1730,510,2150,12650
1073100030,1120,8443,1120,0,1450,8433
1077100035,1400,9087,1400,0,1490,8380
1079350020,1490,7697,1490,0,1540,7529
1079350090,1530,9406,1270,260,1700,7682
1081200350,1760,11180,1760,0,1730,11180
1081310060,2100,14858,2100,0,1980,11730
1081330210,2150,27345,2150,0,2200,11923
1085621740,2267,3577,2267,0,2056,3577
1085623250,2544,4071,2544,0,2358,4179
1085623350,3202,4964,3202,0,2425,4886
1086100100,1060,8625,1060,0,2010,8901
1087500040,1270,10790,1270,0,1270,10790
1088000050,1970,10548,1300,670,2500,8548
1088020070,2070,8720,1360,710,2180,8510
1088800060,2270,9600,2270,0,2580,9617
1089700010,2329,9436,2329,0,2660,10252
1091500120,1950,9720,1400,550,2300,10530
1093000090,1990,6180,1010,980,1470,5150
1099600220,1010,6400,1010,0,1820,6500
1099600250,1710,6400,1240,470,1600,6400
1105000015,920,6600,920,0,1510,5944
1105000229,2110,5260,1670,440,2110,5260
1105000233,940,9330,940,0,1900,6145
1105000373,1110,986,950,160,1110,3515
1105000402,3640,5096,2740,900,1910,9189
1105000571,1870,7189,1270,600,1780,6200
1109000040,1300,3731,900,400,1300,3731
1109000390,2390,4600,1750,640,1690,5220
1112700150,1260,7373,1260,0,1360,7373
1113000430,902,10464,902,0,1510,7210
1115810060,2230,10026,1430,800,2230,9340
1117200190,3010,74390,3010,0,3240,109771
1118002000,6390,13180,4560,1830,4010,8137
1118002090,2820,7200,2460,360,3300,7522
1120069036,1570,43350,1570,0,1570,220849
1121039105,2150,64694,1450,700,2430,59612
1121059030,3110,217800,3110,0,2220,217800
1124000050,1260,8505,1260,0,1480,8100
1125069102,3310,217800,3310,0,2810,217800
1133000100,1940,10202,1940,0,1900,8000
1133000235,3550,11780,2960,590,2360,8850
1133000671,960,6634,960,0,1570,7203
1137300340,2780,35000,2780,0,2740,35072
1137300690,2820,33750,2820,0,2510,36180
1137300890,2560,35265,2560,0,2820,35496
1137450120,2810,6296,2810,0,2850,6140
1137500090,2750,16139,2750,0,2810,13093
1138000250,980,7790,980,0,1390,7280
1138000450,1440,7215,1440,0,1150,7215
1150000200,2420,8244,2420,0,2500,9320
1150000400,2440,7491,2440,0,2490,8580
1150700130,1710,7230,1710,0,1720,6537
1150700170,1870,6693,1870,0,1650,6518
1156000250,3020,21441,1510,1510,1610,16445
1163400070,1660,21514,1660,0,1660,21600
1164000040,1240,11393,1240,0,1660,11393
1175000059,1580,3764,1280,300,1560,3764
1175000073,1720,4011,1720,0,1580,3784
1175000110,1060,3588,960,100,1570,3741
1175001135,1140,3395,620,520,1480,3500
1176001310,4340,5722,4340,0,1770,5250
1180003090,630,6000,630,0,1470,6840
1186000095,2310,4020,2310,0,2270,3750
1186000125,3100,3773,2000,1100,2130,3777
1189000207,1170,1394,1170,0,1250,3136
1189000492,1405,1073,1140,265,1405,3000
1189001180,1660,6000,1110,550,1440,4080
1193000450,2330,6000,2080,250,2150,6000
1196002948,2410,11900,1600,810,3090,11902
1196003428,3170,12750,2360,810,2970,13125
1219000473,1570,15330,1080,490,1250,13330
1220000100,970,7639,570,400,1360,7380
1220000367,1820,1855,1570,250,1470,6900
1223039195,2330,6450,1330,1000,2330,8258
1223049150,1670,10725,1670,0,1600,10725
1223059081,1960,43995,1960,0,1960,42253
1223089066,3400,292723,3400,0,1760,69696
1226039124,1540,9714,1540,0,1840,8179
1226039129,1560,8250,1320,240,1870,8258
1226059112,1360,73616,1360,0,2040,50965
1226069045,4133,361548,4133,0,1970,291416
1231000645,2720,4000,2070,650,1450,4000
1231001110,920,3532,920,0,1250,4000
1231001130,1860,4000,1020,840,1180,4000
1232002015,1430,3840,950,480,1430,3840
1233100260,1260,9638,1260,0,1760,7822
1235100371,3550,9600,3550,0,3370,9600
1236300290,3850,8100,2430,1420,2620,9346
1237500577,3550,8618,3550,0,1310,9746
1238500451,1110,7520,1110,0,1440,8400
1238501184,3130,10849,3130,0,2470,9131
1238900130,2890,4164,2240,650,2354,3207
1239400570,2180,14135,1300,880,3540,10318
1241500155,2070,3599,2070,0,2070,6844
1241500350,2130,35679,2130,0,2670,35679
1245000438,2620,9157,2620,0,2240,7405
1245000500,2860,9159,1530,1330,2070,8680
1245001216,2190,11060,1610,580,2020,8588
1245001220,2040,11850,1020,1020,2040,8504
1245001739,960,12527,960,0,1220,7579
1245003160,2200,11250,1300,900,2320,10814
1245003330,2880,9003,2880,0,2640,8126
1245003660,1470,6000,1090,380,1880,7799
1245003740,1840,6000,1720,120,1390,6000
1250200495,1200,1259,1000,200,1320,1852
1250200552,1610,1320,1280,330,1480,1602
1250202990,2510,4125,1590,920,2190,5415
1250203860,2260,7200,1130,1130,2260,6000
1254200615,1530,2978,1210,320,1640,5100
1257200115,2290,6120,2170,120,1910,4590
1266200120,1370,9460,1370,0,1690,9930
1274500300,1090,9600,1090,0,1240,9620
1277000240,2540,6762,2540,0,2870,6631
1310430130,2790,6600,2790,0,2900,6752
1310440470,2740,7923,2740,0,2740,8815
1310440950,2710,6558,2710,0,2710,7635
1310700330,1780,8820,1480,300,1780,8625
1311200120,1660,7210,1100,560,1660,7245
1311200380,1730,7210,1430,300,1820,7210
1311300100,1250,7280,1250,0,1450,7350
1312200080,1560,7300,1040,520,1460,7910
1313500070,1580,7200,1080,500,1580,7470
1314300046,1010,8800,1010,0,1400,4095
1321400650,1765,7652,1765,0,1765,7719
1321720140,3090,18645,3090,0,3610,20114
1321720160,3610,18948,3610,0,3568,18948
1321730470,2540,7216,2540,0,2140,7531
1323089107,2330,33750,2330,0,2270,35000
1323089184,2430,88426,1570,860,1560,56827
1324039110,3050,7020,2050,1000,2170,5900
1324300380,1600,5000,1110,490,1380,5000
1326049170,1720,9605,860,860,1720,9998
1326069094,2700,24539,2120,580,1830,11000
1328300990,1530,7650,1530,0,1850,6804
1329000030,4490,34982,4490,0,4470,37525
1329500120,2600,8572,2600,0,2170,5288
1330900230,2330,31705,2330,0,2460,36600
1330910280,3720,105850,3720,0,2830,88256
1332000100,3320,38043,3320,0,3170,42621
1332700010,1610,1968,1610,0,1950,1968
1338800425,5110,7128,5110,0,4110,6480
1342300265,2470,4760,1890,580,2470,4760
1344300045,1010,3885,1010,0,1770,4200
1352300120,1500,4120,880,620,1300,4120
1370800700,3910,5350,2610,1300,2890,5350
1370800825,2860,5658,2130,730,2700,5221
1370800935,2020,5500,1790,230,2580,5500
1370801331,4040,9630,2020,2020,3160,8025
1370801465,1590,5136,1320,270,2520,5243
1370802650,2660,4500,1330,1330,1790,5000
1370803730,1660,6000,1660,0,1640,6000
1370803835,2320,6755,1380,940,1990,5000
1373800170,2010,6300,1610,400,3290,6300
1376800025,2780,6000,1670,1110,2780,6000
1377800277,2900,6400,2300,600,2480,6400
1389600040,1987,6000,1987,0,1880,9589
1389600080,1889,6000,1889,0,1990,6350
1392800035,1240,6400,1060,180,1240,6400
1393800005,900,6656,900,0,1230,6400
1402200070,1990,21312,1990,0,2400,19210
1402200440,2910,16410,2910,0,1980,18000
1402600570,1580,6561,1200,380,1710,7241
1402810140,1050,10072,1050,0,1130,10087
1402900460,2190,9209,2190,0,2430,6687
1402950100,2430,5959,2430,0,2100,5414
1420400130,1900,9600,1900,0,2040,9600
1421069117,1460,13503,1460,0,1460,13394
1421069208,2660,17852,2660,0,1320,11876
1422059129,3120,42247,2150,970,2100,43416
1422200496,2550,6117,1650,900,2100,4967
1423069129,2350,54450,1250,1100,2180,50529
1423089055,4070,115434,4070,0,2970,95832
1423900080,1360,7700,1360,0,1321,7756
1423910130,1230,8917,1230,0,1420,7938
1424200070,2310,13300,1890,420,2840,12744
1432400345,1250,8314,1250,0,1188,7700
1432600560,1190,8820,1190,0,1230,7980
1438000200,2970,6587,2260,710,2970,5690
1441000090,3273,5115,2671,602,2996,5100
1442700250,3620,16000,3620,0,2590,16000
1442800060,1870,3118,1870,0,1580,3601
1442860120,2250,12142,2250,0,2300,9003
1442880260,2130,5205,2130,0,2250,5462
1443500305,1560,7144,1060,500,1300,6232
1443550080,2340,12080,2340,0,2200,12403
1446400615,1930,6600,1030,900,1220,6600
1446400648,1080,9067,1080,0,1080,6647
1446401220,930,6600,930,0,1250,6600
1446401290,1400,6600,1280,120,1730,6600
1446403145,1240,9900,940,300,1050,9375
1446800995,2020,6628,1250,770,1540,9995
1446801000,2900,6650,1450,1450,1600,8246
1447600410,1480,32700,1380,100,1500,22600
1453601038,1270,1283,1270,0,1270,1512
1453601502,2520,7334,1600,920,2040,7937
1454100127,2520,8433,2520,0,1890,7772
1454100650,3160,37200,2310,850,3130,20000
1459920190,2630,5701,2630,0,2770,5939
1460000080,1600,7620,1280,320,1600,8215
1471610070,1360,18123,1360,0,1570,16817
1471701410,1700,13500,1700,0,1810,14550
1473060030,3670,9958,3670,0,3300,10679
1502400140,1380,8400,1380,0,1540,8400
1503200050,1940,13370,1940,0,2405,11769
1508210230,1800,6875,1230,570,1800,8749
1509700050,1960,9898,1960,0,2130,7662
1523049083,1090,9994,1090,0,1090,11700
1523049115,1990,15375,1140,850,1160,10236
1523049207,1700,8043,850,850,1540,13260
1523059100,1740,27350,1740,0,2760,10749
1523059103,2570,22215,2570,0,2460,6533
1523069095,1320,24319,1320,0,1430,98445
1523069151,1470,81021,1470,0,2600,69696
1524079093,1300,20700,1300,0,1930,37638
1524079093,1300,20700,1300,0,1930,37638
1524800005,1400,10800,1400,0,1560,11280
1525059020,2910,48351,1910,1000,2760,43560
1525059190,4770,50094,3070,1700,3530,38917
1525059215,3410,35536,2530,880,3140,43453
1525069088,4240,226097,3410,830,2980,217800
1525069134,3790,90169,3790,0,3410,46951
1525079056,1800,23103,1800,0,1410,18163
1525200060,2000,7251,2000,0,2450,8118
1526069135,6050,84942,4150,1900,2700,199504
1529300135,750,6439,750,0,1470,6374
1530900560,1760,3710,1130,630,1760,4200
1531000140,3350,46748,3350,0,3350,39683
1541700010,2040,6300,2040,0,2260,5877
1545800090,1530,7500,1530,0,2080,11250
1545801410,1620,7320,1620,0,1550,7686
1545802850,1820,7930,1820,0,1490,7930
1545804860,1590,7750,1060,530,1680,7500
1545805460,1370,7500,1370,0,1420,7500
1545805980,2770,8820,1900,870,1850,10920
1545807920,1260,8614,1260,0,1600,8614
1545808120,1590,8100,1060,530,1590,8100
1549500585,2220,209523,2220,0,1600,210830
1552800010,2980,9838,1710,1270,2240,9838
1555300490,1520,7800,1120,400,1740,8000
1560870470,2080,2999,2080,0,1630,3148
1560920200,2340,35021,2340,0,2630,35190
1561600056,4010,9654,4010,0,1870,9873
1561900330,2350,9952,1650,700,2440,9100
1562200040,2180,6000,1430,750,2160,8800
1563100557,1310,1266,1120,190,1310,1378
1563102435,2150,4200,1140,1010,2510,7500
1563102880,2160,6300,2160,0,1980,5152
1564000410,3440,6332,3440,0,3310,6528
1565900390,1800,9018,1800,0,1670,9380
1566100625,1610,8296,1610,0,1610,8288
1568100087,1420,1716,1050,370,1420,8150
1568100295,3500,8504,3500,0,1550,8460
1568100730,1040,5796,1040,0,2300,5796
1588600045,1170,4887,1020,150,1170,5441
1591600044,3140,10752,2300,840,1300,9920
1592000680,2190,10370,2190,0,2470,10472
1592080060,1970,8727,1970,0,1670,9168
1593000690,1170,62290,1170,0,1810,42173
1596600060,660,2600,660,0,1560,5445
1604600227,1150,3000,780,370,1150,5000
1608000120,2555,5720,2555,0,2844,5769
1622059095,1730,11325,1730,0,2030,17859
1623049041,520,22334,520,0,1572,10570
1623300160,1100,3000,1100,0,1390,4000
1623800300,1220,3000,920,300,1270,3000
1624049291,3350,5025,2670,680,2030,5117
1624079057,1620,37075,1620,0,2190,87117
1626069198,2290,44866,1390,900,2410,44866
1626069220,2400,97138,2400,0,2230,54450
1630700361,2860,48351,1710,1150,2460,43560
1635500250,2890,5801,2890,0,2890,6286
1644500050,4430,11453,3000,1430,2730,5661
1646501845,1270,3090,1270,0,1440,3090
1646502165,1170,4635,690,480,1240,4120
1651500040,4360,12081,4360,0,2180,10800
1653500070,3300,12090,3300,0,3180,12239
1657000070,1470,12096,1470,0,1470,10966
1657300070,3360,10810,3360,0,2590,10810
1657530350,1720,1916,1720,0,1760,1916
1668500100,3820,35016,3820,0,3010,35190
1670400068,1820,8867,1820,0,1430,9288
1685200110,1610,14182,1100,510,1510,8400
1687000240,2495,4400,2495,0,2434,4400
1687910100,2060,8470,1440,620,2180,8978
1687910200,1900,11171,1280,620,2330,9934
1692900110,3080,13394,2230,850,2810,10720
1703401110,880,5500,880,0,1080,5500
1705400550,1700,4165,1700,0,1400,4165
1708400555,1610,6300,1010,600,1370,5225
1710400005,1770,1800,1770,0,1890,3200
1721059286,2640,8055,2640,0,1650,8055
1721800470,1930,6120,1930,0,1130,6120
1724069043,2420,43177,1690,730,3740,8717
1724069062,2700,3444,2700,0,2710,3444
1724079013,1940,217800,1940,0,2580,83558
1724079048,2680,87117,1340,1340,2580,87117
1724500030,2400,7292,1530,870,1710,7909
1725059316,6330,13296,4900,1430,2200,9196
1725079025,2350,209088,2350,0,2300,209088
1726069084,1810,21650,1810,0,2700,29680
1726069198,3260,91911,3260,0,2520,65775
1726069202,1060,38644,1060,0,1310,11416
1727001300,4130,112521,4130,0,3140,26147
1732800310,2870,4500,2510,360,2870,6354
1732801300,2310,3313,2310,0,2700,5670
1735800050,690,6825,690,0,1330,5381
1737320060,1520,8625,1520,0,2080,9200
1741700040,1000,19969,1000,0,1370,7962
1745000090,1210,7247,1210,0,1370,7869
1760650290,1950,4197,1950,0,2300,4178
1760651000,1400,3814,1400,0,1610,3814
1761300340,1320,7200,1320,0,1540,7200
1762600090,3430,35120,3430,0,3920,35230
1769600066,3030,11550,3030,0,2340,10560
1769600147,2260,7701,1760,500,1880,7529
1770000130,1750,16748,1330,420,1750,16050
1771000540,1160,9525,1160,0,1160,10640
1771000760,1390,12823,1390,0,1390,10095
1771100130,1190,11996,1190,0,1190,9756
1771100240,1650,11220,1650,0,1340,10129
1772600510,2440,4800,2440,0,1180,5480
1772600665,2510,5200,1470,1040,990,5400
1773100765,600,3720,600,0,1480,4800
1773100922,1480,983,1180,300,1330,1062
1773101530,520,4800,520,0,800,4960
