id,num_bedrooms,num_bathrooms,total_floors,has_view_to_waterfront,has_been_viewed,overall_condition,grade,year_built,year_last_renovated
322069153,3,2.5,2,0,0,3,8,1994,0
322069180,3,3,1.5,0,0,4,9,1990,0
323059103,3,2.5,1,0,0,4,7,1978,0
323089134,3,1,1,0,0,4,6,1971,0
325059086,2,2.5,2,0,0,3,9,1943,2014
325059131,4,1.5,1,0,0,3,7,1962,0
326049103,4,2.5,2,0,0,3,8,2002,0
326049111,2,1,1,0,0,3,7,1975,0
326069101,3,2.5,2,0,0,3,8,1986,0
326069132,3,1.5,1,0,0,3,7,1954,0
326069164,4,2.5,2,0,0,3,9,2000,0
328000182,3,3.25,3,0,0,3,9,2009,0
333100295,3,3.5,2,1,4,3,12,1993,0
369000690,4,1,1,0,0,3,6,1904,0
395300100,3,2.75,1.5,0,0,5,7,1965,0
396100110,2,1,1,0,0,4,6,1954,0
408100110,3,1.75,1,0,0,5,6,1950,0
421000500,2,1,1,0,0,5,5,1953,0
421000555,3,1,1,0,0,4,6,1967,0
421049170,3,1,1,0,0,3,7,1962,0
422069067,4,2.25,1,0,0,4,7,1960,0
423059184,3,1,2,0,0,2,5,1908,0
423059207,3,2,1,0,0,3,7,1996,0
423059387,5,2.5,2,0,0,3,9,2007,0
424049284,1,1.5,3,0,0,3,7,2011,0
424069096,3,1.75,1,0,0,4,7,1977,0
424069112,4,2.75,2,0,0,3,10,1992,0
425049146,3,2.5,1.5,0,0,5,8,1950,0
425059024,5,2,1.5,0,0,3,8,1966,0
425059103,3,2.5,2,0,0,3,8,1993,0
425069147,4,2.25,2,0,0,3,7,1988,0
425079100,3,2.75,1,0,2,3,8,1989,0
430000175,3,1.75,1,0,0,3,7,1953,0
434000040,2,1,1,0,0,3,7,1951,0
446000150,3,1,1,0,0,3,7,1950,0
452002005,2,1,1,0,0,3,6,1904,0
452002135,4,2.5,2,0,0,3,9,2012,0
455000395,3,1,1,0,0,3,7,1947,0
458000065,4,2.5,1.5,0,0,4,7,1928,0
461002025,2,2,1,0,0,4,7,1926,0
461002551,1,1,1,0,0,3,7,1908,2005
472000055,3,1.75,1,0,0,4,7,1921,0
475000190,3,2.25,2,0,0,3,8,2005,0
475000510,3,1,1,0,0,4,7,1920,0
476000118,2,2.25,3,0,0,3,8,2008,0
476000338,3,2,3,0,0,3,7,2000,0
486000085,4,3.5,2,0,2,3,9,2001,0
507100005,4,2,1,0,0,3,7,1954,0
509000090,3,2.5,2,0,0,3,9,1988,0
510002065,4,1,1.5,0,0,3,7,1920,0
510002506,2,1.5,3,0,0,3,7,2003,0
510003230,3,2.5,1.5,0,0,4,7,1910,0
518500460,3,3.5,2,1,4,3,11,2014,0
520700125,3,2.25,1,0,0,3,7,1959,0
521049200,3,2.75,2,0,3,4,9,1985,0
522079068,3,2.5,2,0,0,3,7,1995,0
524059052,4,2.25,2,0,0,4,8,1925,1997
524059093,3,1.75,1.5,0,0,4,7,1946,0
524059148,4,3.5,2,0,0,3,11,2005,0
524059241,4,1.75,1,0,0,3,9,1964,0
524069011,3,2.5,2,0,0,3,8,1983,2012
526059103,2,1,1,0,0,4,6,1953,0
526059122,5,2.25,1,0,0,3,7,1955,0
526059224,4,1.75,1,0,0,3,7,1977,0
526069024,5,3,1.5,0,0,4,9,2003,0
537000416,3,2,2,0,0,4,7,1953,0
546000245,3,1.5,1.5,0,0,4,7,1929,0
573000685,2,1.75,1,0,1,3,7,1920,0
579000550,2,1.5,1,0,2,3,6,1923,0
617000089,2,1,1,0,0,4,6,1954,0
619079016,4,3.25,2,0,0,4,9,1993,0
619079096,3,2.5,1.5,0,0,4,9,1979,0
622049114,3,2.5,2,1,4,4,12,1976,0
622069006,4,5.5,1,0,0,3,11,2006,0
623049185,5,1,1.5,0,0,3,6,1942,0
624069050,4,3.5,2,0,0,3,10,2002,0
624110920,3,2.25,2,0,0,3,10,1986,0
624110930,3,3.5,2,0,0,3,10,1986,0
624111000,3,3,2,0,0,3,10,1986,0
625049286,3,1,1,0,0,3,7,1950,0
625049318,4,2,1,0,0,5,7,1941,0
626710220,3,2.5,2,0,0,3,8,1982,0
627300195,5,2.5,1,0,1,3,8,1958,0
629000615,4,3.25,2,0,0,3,10,1962,2005
629000704,4,2,1.5,0,0,5,8,1918,0
629600130,4,2.25,1,0,0,3,8,1977,0
629811600,4,2.5,2,0,0,3,9,1997,0
631000040,4,1.75,1,0,0,3,7,1968,0
643000110,3,1,1,0,0,4,7,1962,0
666000142,3,3,3,0,0,3,9,2009,0
686200510,3,2.75,1,0,0,5,8,1965,0
686400380,7,2.25,2,0,0,5,8,1967,0
686530170,3,2.25,1,0,0,3,8,1977,0
686800080,4,2.5,2,0,0,3,9,2003,0
714000155,3,1,1,0,0,3,7,1946,0
714000315,3,2.75,1,0,0,3,7,1947,0
717000225,2,2,1,0,0,4,6,1954,0
721049207,3,1.75,1,0,0,4,7,1971,0
723000114,5,3.5,2,0,1,5,9,1971,0
723000150,3,2.5,1,0,0,4,8,1940,0
723049434,3,2.5,2,0,0,3,7,2014,0
723069128,2,2,1.5,0,0,3,7,1992,0
723099044,3,2.5,2,0,0,3,8,2002,0
726059047,1,1,1.5,0,0,3,6,1944,1980
726059344,3,2.25,1,0,0,4,7,1961,0
739980260,3,2.5,2,0,0,3,8,1999,0
745000005,1,0.75,1,0,0,2,4,1948,0
745530040,5,2.75,2,0,0,3,9,2014,0
745530240,5,3.5,2,0,0,3,9,2014,0
748000205,1,1,1,0,0,3,6,1935,0
751000080,2,1,1,0,0,3,7,1947,0
751000190,3,1.75,1,0,0,4,6,1948,0
752000035,4,2.5,2,0,0,3,9,2006,0
764000155,4,1.5,1.5,0,0,5,9,1940,0
782700120,3,1.75,1,0,0,3,7,1980,0
785000040,4,1.75,1,0,0,4,7,1961,0
795002455,2,1,1,0,0,3,6,1941,0
797000256,3,1.75,1,0,0,4,6,1981,0
798000145,2,1.75,1,0,0,3,6,1939,0
798000535,3,1,1.5,0,0,3,6,1942,0
806800090,3,1.75,1,0,0,3,7,2003,0
808000070,3,2,1,0,0,4,7,1987,0
808300200,4,2.5,2,0,0,3,7,2000,0
808300310,4,2.25,2,0,0,3,7,2001,0
809000525,3,2.5,1,0,0,3,8,1951,0
809001965,3,1.5,2,0,0,3,8,1919,0
809001970,3,2.5,1.5,0,0,4,8,1929,0
809002030,2,2,1,0,0,4,7,1926,0
820000018,3,3.25,3,0,0,3,8,2001,0
820079101,3,2.25,2,0,2,4,7,1983,0
821049123,4,2.5,2,0,0,3,10,1998,0
822069118,3,3.25,2,0,0,3,10,2003,0
823059145,4,1,1,0,0,4,7,1941,0
824059140,4,2.25,2,0,0,3,9,1978,0
824059265,3,1.75,1,0,2,4,8,1968,0
824069156,4,2,2,0,0,3,8,1978,0
825079024,3,2.75,2,0,0,3,9,2000,0
826000295,2,1,1,0,0,3,7,1947,0
826000495,4,2,1.5,0,2,3,7,1912,0
826069085,3,2.25,1,0,0,3,8,1979,0
844001145,2,1,1,0,0,4,5,1906,0
844001485,5,2.5,1,0,0,4,7,1971,0
847100047,4,2.75,2,0,0,3,8,2012,0
856000985,4,2.5,2,0,0,3,10,2003,0
868000615,4,2.5,1.5,0,0,4,9,1939,0
868001295,3,1.75,1,0,0,4,7,1942,0
868002080,4,2.25,1,0,2,3,8,1959,0
869700350,2,2.5,2,0,0,3,8,1999,0
871001085,3,1,1,0,0,3,8,1948,0
871001735,4,2.25,1,0,0,3,8,1954,0
871001980,3,3.5,2,0,0,3,9,1954,2004
904000045,3,2.5,1,0,0,3,8,1956,0
913000315,6,4.5,3,0,4,4,9,1977,0
920069052,2,1,1,0,0,5,6,1961,0
921049141,3,2.25,1,0,0,3,10,2001,0
922059161,3,2,1,0,0,4,7,1983,0
922069139,2,1,1.5,0,0,5,7,1920,0
923000265,2,1,1.5,0,0,3,7,1944,0
923049323,4,1,1,0,0,3,6,1950,0
923049378,3,1,1,0,0,4,7,1954,0
923049468,3,1,1,0,0,3,7,1956,0
923059259,4,2.5,2,0,0,3,8,2015,0
925049278,4,2,1.5,0,0,5,7,1926,0
925049318,3,1.75,1.5,0,0,4,7,1926,0
925059078,3,2.5,1,0,0,3,8,2013,0
925069042,4,3.25,1,0,0,4,8,1984,0
925069071,5,3.75,1.5,0,0,3,8,1967,1990
925069111,3,1.75,1,0,0,3,7,1973,0
930000234,4,2,1,0,0,4,7,1947,0
952002250,2,2.5,2,0,0,3,8,2008,0
952003435,2,1,1,0,2,5,6,1922,0
952005224,2,1,1,0,0,4,6,1918,0
952006827,3,2.5,2,0,0,3,7,2007,0
976000790,3,2.5,2,0,0,3,7,1985,0
976000879,4,2,1,0,0,3,7,1953,0
982850080,4,2.5,2,0,0,3,7,2009,0
984210120,5,2.25,1,0,0,3,7,1973,0
985000833,3,1,1,0,0,4,7,1948,0
985000900,3,1.75,1,0,0,3,5,1932,0
985000955,4,2,2,0,0,5,6,1942,1967
986000045,4,1.75,1,0,0,3,7,1954,0
993000090,6,3.75,2,0,0,4,8,1977,0
993001330,3,2.25,3,0,0,3,8,2005,0
993001961,3,2.25,3,0,0,3,8,2007,0
993002325,2,1.5,1,0,0,4,7,1949,0
999000215,4,2.5,1.5,0,0,5,7,1928,0
1003400155,3,1,1,0,0,3,7,1955,0
1003600056,4,2,1.5,0,0,3,7,1955,0
1003600080,3,1,1,0,0,5,7,1955,0
1022059032,4,2.5,2,0,0,4,8,1977,0
1023059465,4,2.5,2,0,0,3,8,2009,0
1023089019,5,1.75,1.5,0,0,3,6,1948,0
1024039049,3,2.5,1,0,4,4,9,1954,1983
1024049024,5,3.5,2.5,0,3,5,10,1929,0
1025039086,3,2.5,2,1,3,3,11,1925,0
1025039292,4,2.5,2,0,0,3,11,1986,0
1025049114,3,2.25,2,0,0,3,8,2014,0
1025059094,5,3.5,2,0,0,3,8,1996,0
1025059186,3,1.75,1,0,0,4,7,1978,0
1043000100,4,2.5,2,0,0,3,8,2013,0
1048000060,3,2.25,3,0,0,3,8,2008,0
1048000160,2,1.5,3,0,0,3,8,2008,0
1049010390,3,2,1,0,0,3,7,1972,0
1062100115,3,2,1,0,0,4,7,1969,0
1068000235,4,2.25,1.5,0,2,4,10,1935,0
1068000375,6,5,2.5,0,0,3,13,1933,2002
1070000390,4,3.5,2,0,0,3,9,2014,0
1072030510,4,2.25,1,0,0,4,8,1981,0
1073100030,3,1,1,0,0,3,7,1953,0
1077100035,3,1.5,1,0,0,3,7,1954,0
1079350020,3,2,1,0,0,3,7,1994,0
1079350090,3,2.5,1,0,0,3,7,1993,0
1081200350,4,1.75,1,0,0,4,8,1968,0
1081310060,5,2.5,1,0,0,5,8,1970,0
1081330210,4,2.25,2,0,0,5,8,1976,0
1085621740,4,2.5,2,0,0,3,7,2014,0
1085623250,4,2.5,2,0,0,3,9,2013,0
1085623350,4,2.5,2,0,0,3,9,2014,0
1086100100,3,1,2,0,0,4,7,1962,1997
1087500040,3,1.75,1,0,0,3,7,1956,0
1088000050,3,1.75,1,0,0,4,8,1973,0
1088020070,4,2.25,1,0,0,5,8,1974,0
1088800060,3,2.5,2,0,0,3,9,1990,0
1089700010,4,2.5,2,0,0,3,9,1995,0
1091500120,4,2.75,1,0,0,3,7,1986,0
1093000090,2,2,1,0,0,4,7,1941,0
1099600220,3,1,1,0,0,3,7,1971,0
1099600250,3,1.75,1,0,0,4,7,1976,0
1105000015,2,1,1,0,0,3,6,1919,2003
1105000229,5,3,2,0,0,3,7,2002,0
1105000233,2,1,1,0,0,3,6,1941,0
1105000373,2,1.5,2,0,0,3,7,2009,0
1105000402,4,3,2,0,0,3,8,2010,0
1105000571,3,1.75,1,0,0,3,7,1959,0
1109000040,3,2,1,0,0,3,7,1993,0
1109000390,3,1.5,2,0,0,3,8,1920,1995
1112700150,3,1.75,1,0,0,4,7,1979,0
1113000430,3,1,1,0,0,3,7,1965,0
1115810060,3,2.25,1,0,0,3,8,1975,0
1117200190,3,2.5,2,0,0,3,10,1998,0
1118002000,5,4.75,2,0,0,3,10,1940,0
1118002090,3,4.25,2,0,0,4,10,1930,0
1120069036,3,2.25,1,0,3,4,7,1967,0
1121039105,4,3,1,0,0,3,8,1969,0
1121059030,3,2.5,2,0,0,3,9,2001,0
1124000050,4,1,1.5,0,0,5,7,1951,0
1125069102,4,3,1.5,0,0,3,9,1989,0
1133000100,5,1.5,1.5,0,0,4,7,1940,0
1133000235,6,2.25,1,0,0,4,8,1948,0
1133000671,3,1,1,0,0,3,6,1952,0
1137300340,4,2.5,1,0,0,4,9,1985,0
1137300690,4,2.5,2,0,0,4,9,1984,0
1137300890,3,2.5,2,0,0,3,9,1981,0
1137450120,4,2.5,2,0,0,3,9,2013,0
1137500090,4,2.5,2,0,0,3,9,1989,0
1138000250,3,1.5,1,0,0,5,7,1969,0
1138000450,4,1,1.5,0,0,3,7,1969,0
1150000200,3,2.5,2,0,0,3,10,1988,0
1150000400,4,2.5,2,0,0,4,10,1988,0
1150700130,3,2.5,2,0,0,3,7,1996,0
1150700170,4,2.25,2,0,0,3,7,1996,0
1156000250,5,2.5,1,0,0,4,8,1978,0
1163400070,3,1,1,0,0,4,7,1973,0
1164000040,2,1,1,0,0,4,7,1960,0
1175000059,3,1.75,1.5,0,0,3,7,1945,0
1175000073,4,1,1.5,0,0,4,7,1904,0
1175000110,2,1,1,0,0,4,7,1926,0
1175001135,3,1.75,1,0,0,5,7,1925,0
1176001310,5,4.5,3,0,4,3,10,2010,0
1180003090,2,1,1,0,0,3,6,1943,2005
1186000095,4,2.75,3,0,0,5,8,1979,0
1186000125,4,2.75,2,0,0,3,8,1919,1996
1189000207,2,2.5,2,0,0,3,8,2001,0
1189000492,2,2,2,0,0,3,8,2007,0
1189001180,3,2.25,1,0,0,3,7,1979,0
1193000450,5,1.75,1.5,0,0,3,8,1937,0
1196002948,3,2.5,1,0,2,4,9,1989,0
1196003428,3,2.5,2,0,0,3,10,1995,0
1219000473,3,1.75,1,0,0,3,7,1956,0
1220000100,1,1,1,0,0,4,5,1920,0
1220000367,3,2.5,2,0,0,3,8,2008,0
1223039195,5,1.75,1,0,1,3,8,1958,0
1223049150,2,1.75,1,0,0,3,7,1965,0
1223059081,3,1.75,1,0,0,3,7,1970,0
1223089066,4,3,2,0,0,3,10,1998,0
1226039124,2,2,2,0,0,3,8,2008,0
1226039129,4,2,1,0,0,3,8,1964,0
1226059112,3,1,1,0,0,3,7,1971,0
1226069045,4,3.75,2,0,0,3,11,2000,0
1231000645,4,3.25,2,0,1,3,10,2014,0
1231001110,3,1,1,0,0,3,6,1910,0
1231001130,3,2.25,1.5,0,0,5,7,1920,0
1232002015,3,1,1,0,0,3,7,1945,0
1233100260,3,1,2,0,0,4,7,1920,0
1235100371,5,2.75,2,0,0,3,7,1960,0
1236300290,4,3.5,2,0,1,3,11,1995,0
1237500577,4,2.5,2,0,0,3,10,2007,0
1238500451,3,1,1,0,0,4,7,1960,0
1238501184,4,2.5,2,0,0,3,10,2013,0
1238900130,4,3.75,2,0,0,3,9,2013,0
1239400570,3,1.75,1,0,2,5,8,1947,0
1241500155,3,2.5,2,0,0,3,8,1999,0
1241500350,2,1.5,1,0,0,4,7,1963,0
1245000438,4,2.5,2,0,0,3,8,1996,0
1245000500,4,2.5,1,0,0,4,8,1989,0
1245001216,3,2.75,1,0,0,4,7,1973,0
1245001220,4,2,1,0,2,3,7,1959,0
1245001739,3,1,1,0,0,3,7,1972,0
1245003160,4,2.25,1.5,0,0,5,7,1920,0
1245003330,4,2.5,2,0,0,3,10,2008,0
1245003660,3,2,1,0,0,3,8,1950,1996
1245003740,3,2,2,0,0,5,7,1946,0
1250200495,2,1.5,2,0,0,3,8,2015,0
1250200552,3,2.5,2,0,0,3,7,2007,0
1250202990,5,3,1.5,0,3,5,8,1925,0
1250203860,3,2,1,0,3,3,7,1941,0
1254200615,3,2.5,1,0,0,3,7,1997,0
1257200115,4,2.75,2,0,0,4,7,1926,0
1266200120,2,1,1,0,0,3,6,1950,0
1274500300,3,1.5,1,0,0,4,7,1968,0
1277000240,3,2.5,2,0,0,3,10,1998,0
1310430130,4,2.75,2,0,0,3,9,2000,0
1310440470,3,2.5,2,0,0,3,9,1998,0
1310440950,4,2.5,2,0,0,3,9,1997,0
1310700330,4,2.25,1,0,0,4,8,1966,0
1311200120,3,1,1,0,0,3,7,1963,0
1311200380,3,1,1,0,0,3,7,1963,0
1311300100,3,1,1,0,0,3,7,1965,0
1312200080,3,1.5,1,0,0,4,7,1964,0
1313500070,3,1.5,1,0,0,4,7,1976,0
1314300046,3,1,1,0,0,4,7,1954,0
1321400650,3,2.25,2,0,0,3,7,1996,0
1321720140,4,2.5,2,0,0,3,9,1995,0
1321720160,4,3,2,0,0,3,10,1993,0
1321730470,3,2.25,2,0,0,3,8,1991,0
1323089107,3,2.5,2,0,0,3,9,1983,2001
1323089184,3,2.5,1,0,0,4,7,1985,0
1324039110,4,3.5,2,0,3,3,9,1984,0
1324300380,3,1,1.5,0,0,3,7,1947,0
1326049170,3,1,1,0,0,3,7,1969,0
1326069094,3,1.5,2,0,0,3,7,1977,2014
1328300990,3,1.75,1,0,0,4,8,1977,0
1329000030,4,3.75,2,0,0,3,12,1998,0
1329500120,4,2.5,2,0,0,3,8,2003,0
1330900230,4,2.5,2,0,0,4,8,1980,0
1330910280,4,2.5,2,0,0,4,10,1984,0
1332000100,4,2.5,2,0,0,3,9,1997,0
1332700010,2,2.25,2,0,0,5,7,1979,0
1338800425,6,4,2.5,0,0,4,11,1906,0
1342300265,4,3.25,1.5,0,0,5,9,1906,0
1344300045,2,1,1.5,0,0,4,7,1906,1990
1352300120,2,1,1.5,0,0,3,5,1928,0
1370800700,3,4,2,0,2,5,10,1933,0
1370800825,4,2.25,2,0,3,3,10,1933,0
1370800935,3,2,1.5,0,3,3,10,1937,0
1370801331,4,2.5,1,0,3,4,9,1951,0
1370801465,2,1.75,1.5,0,3,3,9,1927,0
1370802650,3,2,1,0,0,4,7,1922,0
1370803730,3,1.5,1.5,0,0,3,7,1937,0
1370803835,2,1.75,1,0,0,5,8,1946,0
1373800170,4,1.75,1,0,2,5,8,1937,0
1376800025,3,2.25,1,0,3,4,9,1948,0
1377800277,6,3.25,2,0,0,4,8,1977,0
1389600040,4,2.5,2,0,0,3,7,2011,0
1389600080,4,2.5,2,0,0,3,7,2012,0
1392800035,2,1,1,0,1,4,7,1938,0
1393800005,2,1,1,0,0,3,7,1940,0
1402200070,4,2.25,1,0,0,4,8,1968,0
1402200440,5,2.75,1.5,0,0,4,8,1967,0
1402600570,3,2.25,1,0,0,3,8,1981,0
1402810140,3,2,1,0,0,3,7,1986,0
1402900460,4,2.75,2,0,0,4,8,1996,0
1402950100,4,2.5,2,0,0,3,8,2002,0
1420400130,4,2.25,1,0,0,4,7,1967,0
1421069117,3,1.5,1,0,0,4,6,1977,0
1421069208,3,3.25,2.5,0,0,3,8,2014,0
1422059129,3,2,1,0,0,4,7,1980,0
1422200496,3,1.75,2,0,0,3,9,1951,2004
1423069129,4,1.75,1,0,0,4,7,1971,0
1423089055,4,2.75,2,0,0,3,9,2002,0
1423900080,4,1.75,1,0,0,4,7,1966,0
1423910130,3,1.75,1,0,0,4,7,1966,0
1424200070,4,1.5,1,0,0,3,7,1950,0
1432400345,3,1,1,0,0,3,6,1958,0
1432600560,3,1,1,0,0,3,6,1959,0
1438000200,4,3.5,2,0,0,3,8,2014,0
1441000090,4,3.5,2,0,0,3,8,2014,0
1442700250,4,2.5,2,0,0,3,9,1976,0
1442800060,3,2.5,2,0,0,3,8,1993,0
1442860120,4,3,2,0,0,3,8,1986,0
1442880260,3,2.5,2,0,0,3,8,2013,0
1443500305,6,2.5,1,0,0,3,6,1913,0
1443550080,4,2.5,2,0,0,3,8,1999,0
1446400615,4,2,1,0,0,4,7,1967,0
1446400648,2,1,1,0,0,3,6,1951,0
1446401220,2,1,1,0,0,3,6,1957,0
1446401290,3,1,1,0,0,3,6,1954,0
1446403145,2,1,1,0,0,3,7,1950,0
1446800995,3,2.5,1,0,0,4,7,1963,0
1446801000,5,2.5,1,0,0,3,7,1964,0
1447600410,3,1,1,0,0,4,6,1942,0
1453601038,3,2.5,3,0,0,3,7,2007,0
1453601502,4,2,1,0,0,3,7,1955,0
1454100127,4,2.75,2,0,0,3,8,2014,0
1454100650,4,2.75,2,0,3,3,8,1939,0
1459920190,4,2.5,2,0,0,3,7,2010,0
1460000080,3,2.25,1,0,0,3,7,1987,0
1471610070,3,1.75,1,0,0,3,8,1983,0
1471701410,5,2.25,1.5,0,0,4,7,1962,0
1473060030,4,2.5,2,0,0,3,10,2005,0
1502400140,3,1.75,1,0,0,3,7,1967,0
1503200050,4,1.75,1,0,0,4,8,1974,0
1508210230,3,2.25,1,0,0,4,8,1974,0
1509700050,4,2.5,2,0,0,3,8,2001,0
1523049083,2,1,1,0,0,3,7,1954,0
1523049115,3,1,1,0,0,3,7,1946,0
1523049207,4,2,1,0,0,3,7,1954,0
1523059100,5,1,1,0,0,4,5,1958,0
1523059103,4,2.5,2,0,0,5,7,1958,0
1523069095,2,1,1,0,0,3,7,1966,0
1523069151,2,1,1,0,0,4,6,1949,0
1524079093,3,1.75,1,0,0,3,7,1962,0
1524079093,3,1.75,1,0,0,3,7,1962,0
1524800005,2,1,1,0,0,4,7,1974,0
1525059020,4,2.5,1,0,0,4,8,1967,0
1525059190,5,3.25,1,0,0,4,11,1973,0
1525059215,5,2.25,2,0,0,3,10,1974,0
1525069088,5,3.25,2,0,0,3,8,1980,0
1525069134,4,3.5,2,0,0,3,11,1998,0
1525079056,3,1.75,1,0,0,3,7,1968,0
1525200060,3,2.5,2,0,0,3,9,1995,0
1526069135,4,4,2.5,0,2,3,9,2009,0
1529300135,2,1,1,0,0,4,6,1934,0
1530900560,2,2.5,1,0,0,3,8,1988,0
1531000140,4,2.5,2,0,0,3,10,2004,0
1541700010,4,2.5,2,0,0,3,8,2003,0
1545800090,3,1.5,1.5,0,0,3,7,1986,0
1545801410,3,2.5,2,0,0,3,7,1989,0
